num_sectors,snr,num_repetitions,a_s,doa,rmse,std_dev
6,5,100000,0.1,187,19.564404728576903,13.160811019329492
6,5,100000,0.1,188,18.870458896793924,12.827952217808306
6,5,100000,0.1,189,18.0102794953895,12.339356238732023
6,5,100000,0.1,190,17.174324785847663,11.913386934551221
6,5,100000,0.1,191,15.970434927372875,11.206515936938915
6,5,100000,0.1,192,14.990868462309571,10.616760605770022
6,5,100000,0.1,193,13.812886277540835,9.888004278085402
6,5,100000,0.1,194,12.638169602210398,9.109143716890355
6,5,100000,0.1,195,11.420683101219009,8.26483375326051
6,5,100000,0.1,196,10.355366159333665,7.52269995213467
6,5,100000,0.1,197,9.309296127445462,6.726351326300811
6,5,100000,0.1,198,8.351284193127027,5.975520072221226
6,5,100000,0.1,199,7.572752475298329,5.34536274004122
6,5,100000,0.1,200,6.90938606786901,4.835082362871518
6,5,100000,0.1,201,6.314425583037923,4.351309348809878
6,5,100000,0.1,202,5.89431564261296,4.043820158541918
6,5,100000,0.1,203,5.508256711790541,3.7604384872716294
6,5,100000,0.1,204,5.2093321207338725,3.53862432942257
6,5,100000,0.1,205,4.936081514087447,3.356358136218568
6,5,100000,0.1,206,4.78618822274463,3.2628728778709393
6,5,100000,0.1,207,4.642570615642677,3.1816407420545785
6,5,100000,0.1,208,4.538719991304194,3.121934077127606
6,5,100000,0.1,209,4.519875197343992,3.1217741009789313
6,5,100000,0.1,210,4.578693346371301,3.189727617670574
6,5,100000,0.1,211,4.66855500823996,3.2751046418925274
6,5,100000,0.1,212,4.899877347445344,3.4731864039484166
6,5,100000,0.1,213,5.2339462115896715,3.7416833406050647
6,5,100000,0.1,214,5.756854837550479,4.171625308553667
6,5,100000,0.1,215,6.416340552719858,4.7129126908452665
6,5,100000,0.1,216,7.364340836807569,5.55642359125065
6,5,100000,0.1,217,8.511549755455828,6.558794383262283
6,5,100000,0.1,218,9.709945078371302,7.536989884707435
6,5,100000,0.1,219,11.440782230024686,9.085630804095594
6,5,100000,0.1,220,13.458701743159315,10.857919034161824
6,5,100000,0.1,221,15.284649989999211,12.41484080389864
6,5,100000,0.1,222,17.898543051292336,14.622725976267455
6,5,100000,0.1,223,20.373170298199412,16.69755577323642
6,5,100000,0.1,224,22.97891734909376,18.838586847003153
6,5,100000,0.1,225,25.425256057207484,20.77823564751819
6,5,100000,0.1,226,27.937767893835122,22.764223658512517
6,5,100000,0.1,227,29.85281118995102,24.193582974037014
6,5,100000,0.1,228,32.259381385184255,25.99876556784087
6,5,100000,0.1,229,34.02164032468417,27.23055158100793
6,5,100000,0.1,230,35.384128739992754,28.190297925064673
6,5,100000,0.1,231,36.724906536635956,29.148031283207754
6,5,100000,0.1,232,37.437728286809964,29.627542247672135
6,5,100000,0.1,233,37.89636241485062,29.986990079405658
6,5,100000,0.1,234,38.52254087449735,30.42882644045751
6,5,100000,0.1,235,38.59375051801819,30.477833708548587
6,5,100000,0.1,236,38.46582780116308,30.448366104216248
6,5,100000,0.1,237,38.102839757662736,30.207612142699837
6,5,100000,0.1,238,37.43904594479753,29.756767840893048
6,5,100000,0.1,239,36.82141902766832,29.35427081489623
6,5,100000,0.1,240,35.97315178525241,28.772382305531004
